VEHICLE NAME,MAKE,MODEL,YEAR,Body style,First registration date,Condition,Colour,KM,KM_UNIT,Transmission,Drivetrain,Fuel type,KW,KW_UNIT,CAPACITY,CAPACITY UNIT,Doors,Fuel consumption,CO2 emissions,Seats,Cylinders,Kerb weight,Type approval number,Warranty,PRICE,CURRENCY,URL
SUZUKI SX4 S-Cross 1.4 16V Compact+ 4WD,SUZUKI,SX4, 2020 ,SUV,10.2020,Second hand/used,silver,10,KM,Manual,Four wheel drive,Petrol,140,KW,1'373,cc,5,7.3 / 5.5 / 6.2,141 g/km,5,4,1'380 kg,1SD849,Yes,28180,CHF,https://www.autolina.ch/en/auto/suzuki-sx4-s-cross/2608291
SKODA Octavia 1.5 TSI Soleil,SKODA,Octavia, 2020 ,Estate,,New car(s),"black, met.",100,KM,Automatic,Front wheel drive,Petrol,110,KW,1'498,cc,5,0.0 / 0.0 / 5.1,116 g/km,5,4,1'505 kg,1SG729,Yes,29620,CHF,https://www.autolina.ch/en/auto/skoda-octavia/2593546
HONDA JAZZ 1.3i-VTEC Elegance CVT,HONDA,JAZZ, 2020 ,small car,,New car(s),grey,35,KM,Automatic,Front wheel drive,Petrol,102,KW,1'318,cc,5,5.6 / 4.6 / 5.0,114 g/km,5,4,1'130 kg,,,27050,CHF,https://www.autolina.ch/en/auto/honda-jazz/2590896
SKODA Octavia 2.0 TDI Soleil,SKODA,Octavia, 2020 ,Estate,,New car(s),white,100,KM,Automatic,Front wheel drive,Diesel,110,KW,1'968,cc,5,0.0 / 0.0 / 4.3,112 g/km,5,4,1'609 kg,1SG651,Yes,33230,CHF,https://www.autolina.ch/en/auto/skoda-octavia/2602733
SKODA Octavia 2.0 TDI Soleil,SKODA,Octavia, 2020 ,Estate,,New car(s),white,100,KM,Automatic,Front wheel drive,Diesel,110,KW,1'968,cc,5,0.0 / 0.0 / 4.3,112 g/km,5,4,1'609 kg,1SG543,Yes,33230,CHF,https://www.autolina.ch/en/auto/skoda-octavia/2593548
SKODA Superb 2.0 TDi Sp.Li.+4x4,SKODA,Superb, 2020 ,Estate,,New car(s),white,100,KM,Automatic,Four wheel drive,Diesel,140,KW,1'968,cc,5,0.0 / 0.0 / 5.0,132 g/km,5,4,1'890 kg,1SG712,Yes,54180,CHF,https://www.autolina.ch/en/auto/skoda-superb/2593545
SKODA Octavia 2.0TSI Soleil 4x4,SKODA,Octavia, 2020 ,Estate,,New car(s),"grey, met.",100,KM,Automatic,Four wheel drive,Petrol,140,KW,1'984,cc,5,0.0 / 0.0 / 6.6,150 g/km,5,4,1'678 kg,1SG670,Yes,33720,CHF,https://www.autolina.ch/en/auto/skoda-octavia/2602735
SKODA Octavia 2.0 TDI Soleil,SKODA,Octavia, 2020 ,Estate,,New car(s),"black, met.",100,KM,Automatic,Front wheel drive,Diesel,110,KW,1'968,cc,5,0.0 / 0.0 / 4.3,112 g/km,5,4,1'609 kg,1SG652,Yes,34600,CHF,https://www.autolina.ch/en/auto/skoda-octavia/2605707
SKODA Superb 2.0 TSI Sp.Li.+4x4,SKODA,Superb, 2020 ,Estate,,New car(s),white,100,KM,Automatic,Four wheel drive,Petrol,199,KW,1'984,cc,5,0.0 / 0.0 / 7.1,161 g/km,5,4,1'870 kg,1SG718,Yes,58370,CHF,https://www.autolina.ch/en/auto/skoda-superb/2602734
SKODA Octavia 2.0 TSI  Amb. 4x4,SKODA,Octavia, 2020 ,Estate,,New car(s),grey,100,KM,Automatic,Four wheel drive,Petrol,140,KW,1'984,cc,5,0.0 / 0.0 / 6.6,150 g/km,5,4,1'678 kg,1SG670,Yes,34220,CHF,https://www.autolina.ch/en/auto/skoda-octavia/2593543
SKODA Octavia 2.0 TSI RS,SKODA,Octavia, 2020 ,Estate,,New car(s),"blue, met.",100,KM,Automatic,Front wheel drive,Petrol,180,KW,1'984,cc,5,0.0 / 0.0 / 6.3,144 g/km,5,4,1'593 kg,1SG668,Yes,43930,CHF,https://www.autolina.ch/en/auto/skoda-octavia/2586641
HONDA CR-V 2.0i MMD Hybrid Executive 4WD Automatic,HONDA,CR-V, 2020 ,SUV,,New car(s),grey,35,KM,Automatic,Four wheel drive,Petrol,146,KW,1'993,cc,5,5.1 / 5.7 / 5.5,126 g/km,5,4,1'743 kg,,,59050,CHF,https://www.autolina.ch/en/auto/honda-cr-v/2589974
SEAT Leon ST 1.5 TSI EVO SW.FR,SEAT,Leon, 2020 ,Estate,,New car(s),"white, met.",100,KM,Automatic,Front wheel drive,Petrol,110,KW,1'498,cc,5,6.4 / 4.3 / 5.1,113 g/km,5,4,1'456 kg,1SH718,Yes,33160,CHF,https://www.autolina.ch/en/auto/seat-leon/2560998
SKODA Fabia 1.0 MPI Ambition,SKODA,Fabia, 2020 ,saloon/hatchback,,New car(s),"grey, met.",100,KM,Manual,Front wheel drive,Petrol,44,KW,999,cc,5,0.0 / 0.0 / 4.7,108 g/km,5,3,1'191 kg,,Yes,15440,CHF,https://www.autolina.ch/en/auto/skoda-fabia/2586639
SKODA KODIAQ 2.0 TSI Smile 4x4 DSG,SKODA,KODIAQ, 2020 ,SUV,08.2020,Second hand/used,"white, met.",1,KM,Automatic,Four wheel drive,Petrol,190,KW,1'984,cc,5,0.0 / 0.0 / 6.9,158 g/km,5,4,1'926 kg,1SG687,Yes,41920,CHF,https://www.autolina.ch/en/auto/skoda-kodiaq/2581533
SKODA Fabia 1.0 MPI Ambition,SKODA,Fabia, 2020 ,saloon/hatchback,,New car(s),"black, met.",100,KM,Manual,Front wheel drive,Petrol,44,KW,999,cc,5,0.0 / 0.0 / 4.7,108 g/km,5,3,1'191 kg,,Yes,15440,CHF,https://www.autolina.ch/en/auto/skoda-fabia/2586640
FORD Edge 2.0 EcoBlue 238 ST-Line,FORD,Edge, 2020 ,SUV,,New car(s),white,,,Automatic,Four wheel drive,Diesel,175,KW,1'995,cc,5,8.6 / 5.8 / 6.8,177 g/km,5,4,2'235 kg,,,61880,CHF,https://www.autolina.ch/en/auto/ford-edge/2460118
TOYOTA Camry 2.5 HSD Premium,TOYOTA,Camry, 2020 ,saloon/hatchback,,New car(s),"black, met.",10,KM,Automatic,Front wheel drive,Hybrid (petrol/electric),130,KW,2'487,cc,4,0.0 / 0.0 / 4.4,101 g/km,5,4,1'702 kg,,Yes,50850,CHF,https://www.autolina.ch/en/auto/toyota-camry/2459610
TOYOTA Corolla Touring Sports 2.0 HSD Trend,TOYOTA,Corolla, 2020 ,Estate,,New car(s),"blue, met.",10,KM,Automatic,Front wheel drive,Hybrid (petrol/electric),112,KW,1'987,cc,5,0.0 / 0.0 / 3.9,89 g/km,5,4,1'540 kg,,Yes,39750,CHF,https://www.autolina.ch/en/auto/toyota-corolla/2453941
TOYOTA Corolla 2.0 Hybrid Touring Trend,TOYOTA,Corolla, 2020 ,Estate,,New car(s),white,8,KM,Automatic,Front wheel drive,Hybrid (petrol/electric),132,KW,1'987,cc,5,0.0 / 0.0 / 3.9,89 g/km,5,4,1'540 kg,,Yes,38890,CHF,https://www.autolina.ch/en/auto/toyota-corolla/2454009
FORD Tourneo Grand Connect 1.5 EcoBlue Titan.,FORD,Tourneo, 2020 ,Estate,,New car(s),white,25,KM,Automatic,Front wheel drive,Diesel,88,KW,1'499,cc,5,5.3 / 5.0 / 5.2,135 g/km,5,4,1'775 kg,,Yes,36619,CHF,https://www.autolina.ch/en/auto/ford-tourneo/2454375
NISSAN NV200 Kaw. 1.6 16V Comfort EU6 HK,NISSAN,NV200, 2020 ,Van,,New car(s),white,15,KM,Manual,Front wheel drive,Petrol,81,KW,1'598,cc,,,,2,4,1'280 kg,,,17229,CHF,https://www.autolina.ch/en/auto/nissan-nv200/2451097
PEUGEOT 508 SW 1.6 PureTech GT Line,PEUGEOT,508, 2020 ,Estate,,New car(s),grey,28,KM,Automatic,Front wheel drive,Petrol,133,KW,1'598,cc,5,7.1 / 4.4 / 5.4,125 g/km,5,4,1'505 kg,,,46900,CHF,https://www.autolina.ch/en/auto/peugeot-508/2459233
TOYOTA Corolla 2.0 Hybrid Premium,TOYOTA,Corolla, 2020 ,saloon/hatchback,,New car(s),"black, met.",8,KM,Automatic,Front wheel drive,Hybrid (petrol/electric),132,KW,1'987,cc,5,0.0 / 0.0 / 3.9,89 g/km,5,4,1'500 kg,,Yes,43380,CHF,https://www.autolina.ch/en/auto/toyota-corolla/2454007
TOYOTA Corolla - 2.0 TS Hybrid Trend,TOYOTA,Corolla, 2020 ,Estate,,New car(s),"black, met.",8,KM,Automatic,Front wheel drive,Hybrid (petrol/electric),132,KW,1'987,cc,5,0.0 / 0.0 / 3.9,89 g/km,5,4,1'540 kg,,Yes,39390,CHF,https://www.autolina.ch/en/auto/toyota-corolla/2454008
PEUGEOT 3008 1.6 PureTech Crossway,PEUGEOT,3008, 2020 ,SUV,,New car(s),white,25,KM,Automatic,Front wheel drive,Petrol,133,KW,1'598,cc,5,7.2 / 4.9 / 5.8,131 g/km,5,4,1'505 kg,,,41830,CHF,https://www.autolina.ch/en/auto/peugeot-3008/2453937
HYUNDAI i30 Wagon 1.4 T-GDi Vertex,HYUNDAI,i30, 2020 ,Estate,,New car(s),"yellow, met.",100,KM,Automatic,Front wheel drive,Petrol,103,KW,1'353,cc,5,6.7 / 5.1 / 5.7,130 g/km,5,4,1'525 kg,,Yes,33400,CHF,https://www.autolina.ch/en/auto/hyundai-i30/2424105
SUZUKI Vitara 1.4 T Compact+ 4x4,SUZUKI,Vitara, 2020 ,SUV,,New car(s),"white, met.",8,KM,Automatic,Four wheel drive,Petrol,103,KW,1'373,cc,5,7.5 / 5.6 / 6.3,143 g/km,5,4,1'389 kg,,Yes,26990,CHF,https://www.autolina.ch/en/auto/suzuki-vitara/2426476
PEUGEOT 508 SW 2.0 BlueHDi 180 Allure MJ 20,PEUGEOT,508, 2020 ,Estate,,New car(s),"black, met.",50,KM,Automatic,Front wheel drive,Diesel,130,KW,1'997,cc,5,6.0 / 3.9 / 4.7,124 g/km,5,4,1'620 kg,,,46990,CHF,https://www.autolina.ch/en/auto/peugeot-508/2426624
DACIA Duster Ultimate SCe 115 4WD E6C,DACIA,Duster, 2020 ,SUV,,New car(s),"red, met.",100,KM,Manual,Four wheel drive,Petrol,84,KW,1'598,cc,5,8.3 / 6.1 / 6.9,158 g/km,5,4,1'351 kg,,,20240,CHF,https://www.autolina.ch/en/auto/dacia-duster/2426953
NISSAN Micra 1.0 IG-T 100 N-Way,NISSAN,Micra, 2020 ,small car,,New car(s),white,10,KM,Automatic,Front wheel drive,Petrol,74,KW,999,cc,5,5.7 / 4.7 / 5.1,115 g/km,5,3,1'155 kg,,Yes,18990,CHF,https://www.autolina.ch/en/auto/nissan-micra/2441485
SUZUKI Baleno 1.0 T Compact Top,SUZUKI,Baleno, 2020 ,small car,,New car(s),"grey, met.",8,KM,Automatic,Front wheel drive,Petrol,82,KW,998,cc,5,6.9 / 4.6 / 5.5,124 g/km,5,3,1'087 kg,,Yes,19490,CHF,https://www.autolina.ch/en/auto/suzuki-baleno/2449397
DACIA Duster 1.5 Blue dCi Prestige 4WD,DACIA,Duster, 2020 ,SUV,,New car(s),blue,,,Manual,Four wheel drive,Diesel,85,KW,1'461,cc,5,4.9 / 4.5 / 4.7,123 g/km,5,4,1'480 kg,,,22240,CHF,https://www.autolina.ch/en/auto/dacia-duster/2419517
PEUGEOT 3008 1.6 PureTech GT Line,PEUGEOT,3008, 2020 ,SUV,,New car(s),"white, met.",10,KM,Automatic,Front wheel drive,Petrol,133,KW,1'598,cc,5,7.2 / 4.9 / 5.8,131 g/km,5,4,1'505 kg,,Yes,47800,CHF,https://www.autolina.ch/en/auto/peugeot-3008/2416192
RENAULT Zoe R110 Limited,RENAULT,Zoe, 2020 ,small car,,New car(s),"grey, met.",10,KM,Automatic,Front wheel drive,Electric,81,KW,,,5,,,5,,1'500 kg,,Yes,24750,CHF,https://www.autolina.ch/en/auto/renault-zoe/2464324
RENAULT Zoe Life R90,RENAULT,Zoe, 2020 ,small car,,New car(s),white,,,Automatic,Front wheel drive,Electric,68,KW,,,5,,,5,,1'480 kg,,,21600,CHF,https://www.autolina.ch/en/auto/renault-zoe/2468086
TOYOTA Aygo - 1.0 Trend,TOYOTA,Aygo, 2020 ,small car,,New car(s),"grey, met.",8,KM,Manual,Front wheel drive,Petrol,53,KW,998,cc,5,0.0 / 0.0 / 3.8,86 g/km,4,3,915 kg,,Yes,15990,CHF,https://www.autolina.ch/en/auto/toyota-aygo/2468195
HYUNDAI i30 Wagon 1.4 T-GDi Amplia,HYUNDAI,i30, 2020 ,Estate,,New car(s),white,,,Automatic,Front wheel drive,Petrol,103,KW,1'353,cc,5,6.7 / 5.1 / 5.7,130 g/km,5,4,1'490 kg,,Yes,28100,CHF,https://www.autolina.ch/en/auto/hyundai-i30/2468615
SUBARU XV 1.6i Special,SUBARU,XV, 2020 ,SUV,,New car(s),"silver, met.",,,Automatic,Four wheel drive,Petrol,84,KW,1'600,cc,5,8.5 / 6.0 / 6.9,157 g/km,5,4,1'523 kg,,,31990,CHF,https://www.autolina.ch/en/auto/subaru-xv/2469060
SUBARU Forester Station 2.0 Executive,SUBARU,Forester, 2020 ,SUV,,New car(s),"other, met.",,,Automatic,Four wheel drive,Petrol,110,KW,1'995,cc,5,9.1 / 6.7 / 7.5,172 g/km,5,4,1'649 kg,,,37350,CHF,https://www.autolina.ch/en/auto/subaru-forester/2469061
SUZUKI Swift 1.0 T Compact Top,SUZUKI,Swift, 2020 ,small car,,New car(s),"silver, met.",,,Automatic,Front wheel drive,Petrol,82,KW,998,cc,5,6.8 / 4.5 / 5.3,122 g/km,5,3,1'080 kg,,,23280,CHF,https://www.autolina.ch/en/auto/suzuki-swift/2469064
SUZUKI Ignis 1.2 Compact+ 4x4,SUZUKI,Ignis, 2020 ,small car,,New car(s),"orange, met.",,,Manual,Four wheel drive,Petrol,66,KW,1'242,cc,5,6.2 / 4.6 / 5.2,118 g/km,4,4,1'226 kg,,,19580,CHF,https://www.autolina.ch/en/auto/suzuki-ignis/2469062
RENAULT Clio Zen TCe 90 E6C,RENAULT,Clio, 2020 ,small car,,New car(s),"silver, met.",50,KM,Manual,Front wheel drive,Petrol,66,KW,898,cc,5,6.5 / 4.4 / 5.2,118 g/km,5,3,1'157 kg,,,14990,CHF,https://www.autolina.ch/en/auto/renault-clio/2463758
TOYOTA PROACE Verso Medium 2.0 D Trend,TOYOTA,PROACE, 2020 ,,,New car(s),"silver, met.",8,KM,Automatic,Front wheel drive,Diesel,130,KW,1'997,cc,5,0.0 / 0.0 / 6.1,160 g/km,5,4,1'940 kg,,Yes,47779,CHF,https://www.autolina.ch/en/auto/toyota-proace/2070039
